Release,Track No#,Song Title,Artist,Rep Count,Duration,Genre,Hard?,Easy to Learn?,Tags
71,4 - Back,When Love Becomes A Lie,Liz Kay,,5:15,Pop,,,
71,5 - Triceps,"Black Fingernails, Red Wine",Eskimo Joe,,4:06,Pop,,,Short (<4:30)
71,6 - Biceps,What I've Done,Hiroshi Free,,4:21,Pop,,,Short (<4:30)
71,7 - Lunges,Doesn't Matter,Mamad Voltek,,5:16,Pop,,,
71,8 - Shoulders,Operation Blade 09,Public Domain,,4:00,Pop,,,Short (<4:30)
71,9 - Core,Circus,Britney Spears,,4:17,Pop,,,"Sing-Along, Women of Pop, Short (<4:30)"
71,10 - Cooldown,Sober,P!nk,,4:16,Pop,,,"P!nk, Women of Pop, Short (<4:30)"
72,1 - Warmup,If (Freemasons 2009 Re-Rub),Freemasons feat. Hazel Fernandes,,5:07,Pop,,,Pride
72,2 - Squats,I Do Not Hook Up,Kelly Clarkson,,5:34,Pop,,,"Women of Pop, Break-Up Songs"
72,3 - Chest,Always Be Here,Dane Rumble,,4:53,Pop,,,
72,4 - Back,Perfect Day,Cascada,,4:59,EDM,,,"Positive Vibes, Spring"
72,5 - Triceps,Sugar,Flo Rida feat. Wynter,,4:02,Hip-Hop,,,Short (<4:30)
72,6 - Biceps,Know Your Enemy,Ricochet TV (original: Green Day),,4:40,Rock,,,Emo
72,7 - Lunges,Gone,Lasgo,,5:32,Pop,,,
72,8 - Shoulders,Beat It,Xeroxx,,4:31,Pop,,,
72,9 - Core,Love Sex Magic,Ciara feat. Justin Timberlake,,3:45,Hip-Hop,,,Short (<4:30)
72,10 - Cooldown,Careless Whisper,Badlands (original: George Michael),,4:29,Pop,,,"Sing-Along, Short (<4:30)"
73,1 - Warmup,Release Me,Linzi Paul,,4:40,Pop,,,Pride
73,2 - Squats,DOA,Telstarr,,5:34,Pop,,,
73,3 - Chest,I Gotta Feeling,TransNoise (original: Black Eyed Peas),,5:24,Hip-Hop,,,"Sing-Along, Positive Vibes"
73,4 - Back,Mysterious Times (Kindervater vs Jens O Remix Edit),Sash feat. Tina Cousins,,5:12,Hip-Hop,,,
73,5 - Triceps,Evacuate The Dance Floor,Studio88,,4:47,Pop,,,
73,6 - Biceps,New Divide,Crimson Ltd (original: Linkin Park),,4:28,Rock,,,Short (<4:30)
73,7 - Lunges,When Love Takes Over,Olson Bjerre,,5:11,Pop,,,"Valentine's Day, Pride"
73,8 - Shoulders,Smells Like Teen Spirit (Voc Mix),Warp Bros (original: Nirvana),,4:36,Rock,,,"Sing-Along, Beast Mode"
73,9 - Core,S.O.S (Let The Music Play),Jordin Sparks,,4:14,Pop,,,"Women of Pop, Short (<4:30)"
73,10 - Cooldown,No Surprise,Daughtry,,4:34,Rock,,,
74,1 - Warmup,Run (Almighty Anthem Radio Edit),Jamie Knight,,4:38,Pop,,,
74,2 - Squats,This Is Who I Am,Annie Lee,,5:29,Pop,,,
74,3 - Chest,We Weren't Born To Follow,OneZeroOne feat. Ant P (original: Bon Jovi),,5:00,Rock,,,Pride
74,4 - Back,Don't Speak,Alex Cortez (original: No Doubt),,5:13,Pop,,,"Women of Pop, Break-Up Songs, Sing-Along"
74,5 - Triceps,3,Britney Spears,,4:30,Pop,,,"Spicy, Women of Pop, Sing-Along, Short (<4:30)"
74,6 - Biceps,Boom Boom Pow,Beat Factory (original: Black Eyed Peas),,4:17,Hip-Hop,,,Short (<4:30)
74,7 - Lunges,Dangerous,Rhythm Twins,,5:50,Pop,,,
74,8 - Shoulders,She's A Genius,Badlands Inc,,4:21,Pop,,,Short (<4:30)
74,9 - Core,In My Head,Jason Derulo,,4:19,Hip-Hop,,,Short (<4:30)
74,10 - Cooldown,Art Of Love (featuring Jordin Sparks),Guy Sebastian,,4:04,Pop,,,Short (<4:30)
75,1 - Warmup,Fever,OneZeroOne,,5:15,Pop,,,
75,2 - Squats,Watcha Say (B-Tastic Remix),Henry Blank (original: Imogen Heap),,5:26,Pop,,,
75,3 - Chest,Shut It Down,Pitbull featuring Akon,,4:59,Latin,,,
75,4 - Back,Wherever You Will Go (Handz Up Edit),Jan Wayne,,5:45,Pop,,,
75,5 - Triceps,Bad Influence,P!nk,,4:39,Pop,,,"P!nk, Women of Pop"
75,6 - Biceps,Cowboy Casanova,Carrie Underwood,,3:50,Pop,,,"Short (<4:30), Women of Pop, Break-Up Songs"
